Fingerprint
"Suzuki Dzire_550,140_85K"
"Renault Duster_570,350_96K"
"Nissan Sunny_520,000_97K"
"Suzuki Dzire_560,034_67K"
"Peugeot 301_400,140_110K"
"Chery Tiggo 3_540,280_113K"
"Kia Picanto_470,025_107K"
"Kia Picanto_570,075_56K"
"Fiat 500L_510,000_80K"
"Renault Sandero Stepway_520,031_118K"
"Renault Sandero Stepway_580,048_99K"
"Kia Picanto_550,140_119K"
"Renault Logan_520,500_85K"
"Renault Sandero_470,250_82K"
"Opel Astra_530,043_122K"
"Renault Sandero_520,000_108K"
"Nissan Sunny_566,000_94K"
"Chevrolet Optra_596,000_82K"
"Suzuki Alto_360,000_71K"
"Chery ARRIZO 5_561,000_122K"
"Chevrolet Optra_591,000_80K"
"Nissan Sunny_561,000_81K"
"Suzuki Swift_591,000_62K"
"Chevrolet Optra_490,022_75K"
"Peugeot 408_495,000_101K"
"Being Sold Changan CS35_490,210_125K"
"Being Sold Renault Captur_525,049_100K"
"Being Sold Nissan Juke_520,000_55K"
"Being Sold Peugeot 301_550,000_33K"
"BMW 318_420,000_17K"
